teks,label,teks_tokenied,teksbersih
b ada catat motor balap sesi kali naremaketurki ,Positif,['b ada catat motor balap sesi kali naremaketurki '],['b ada catat motor balap sesi kali naremaketurki ']
b ada rute bus gratis tonton motogp mandalika baca lengkap,Positif,['b ada rute bus gratis tonton motogp mandalika baca lengkap'],['b ada rute bus gratis tonton motogp mandalika baca lengkap']
b ahli sirkuit mandalika motogp baik titik utama,Positif,['b ahli sirkuit mandalika motogp baik titik utama'],['b ahli sirkuit mandalika motogp baik titik utama']
b airlangga hartarto kira official crew balap motogp maret mandalika ,Positif,['b airlangga hartarto kira official crew balap motogp maret mandalika '],['b airlangga hartarto kira official crew balap motogp maret mandalika ']
b aspal sirkuit mandalika benah tes pramusim motogp beres maret,Positif,['b aspal sirkuit mandalika benah tes pramusim motogp beres maret'],['b aspal sirkuit mandalika benah tes pramusim motogp beres maret']
b aspal ulang sirkuit mandalika,Positif,['b aspal ulang sirkuit mandalika'],['b aspal ulang sirkuit mandalika']
b ayo registrasi link akses acara,Positif,['b ayo registrasi link akses acara'],['b ayo registrasi link akses acara']
b balap cepat catat tes pramusim motogp sirkuit mandalika gabung ,Positif,['b balap cepat catat tes pramusim motogp sirkuit mandalika gabung '],['b balap cepat catat tes pramusim motogp sirkuit mandalika gabung ']
b balap repsol honda nasal spanyol npol espargaro incar podium npada balap debut musim n motogpmandalika,Positif,['b balap repsol honda nasal spanyol npol espargaro incar podium npada balap debut musim n motogpmandalika'],['b balap repsol honda nasal spanyol npol espargaro incar podium npada balap debut musim n motogpmandalika']
b balik indah sirkuit mandalika emak-emak selfie jual es teh n ninanews inanewstv mandalika,Positif,['b balik indah sirkuit mandalika emak-emak selfie jual es teh n ninanews inanewstv mandalika'],['b balik indah sirkuit mandalika emak-emak selfie jual es teh n ninanews inanewstv mandalika']
b bandara igustingurahrai bandara hubung lombok gelar motogpmandalika n nbaca lengkap,Positif,['b bandara igustingurahrai bandara hubung lombok gelar motogpmandalika n nbaca lengkap'],['b bandara igustingurahrai bandara hubung lombok gelar motogpmandalika n nbaca lengkap']
b banyak aspal kelupas baik sirkuit mandalika kebut n nmotogp motogp mandalika mandalika test mandalika rakyat,negatif,['b banyak aspal kelupas baik sirkuit mandalika kebut n nmotogp motogp mandalika mandalika test mandalika rakyat'],['b banyak aspal kelupas baik sirkuit mandalika kebut n nmotogp motogp mandalika mandalika test mandalika rakyat']
b baru jadwal motogp balap satelit ducati puji sirkuit mandalika enea seru tantang,Positif,['b baru jadwal motogp balap satelit ducati puji sirkuit mandalika enea seru tantang'],['b baru jadwal motogp balap satelit ducati puji sirkuit mandalika enea seru tantang']
b benah rampung puncak balap motogp mandalika maret n nmerah putih com,Positif,['b benah rampung puncak balap motogp mandalika maret n nmerah putih com'],['b benah rampung puncak balap motogp mandalika maret n nmerah putih com']
b berita yg konsen bangga sirkuit mandalika yg gelar,Positif,['b berita yg konsen bangga sirkuit mandalika yg gelar'],['b berita yg konsen bangga sirkuit mandalika yg gelar']
b beritaterkini polda ntb tempat personel khusus cegat drone liar race motogp mandalika n polda ntb ,Positif,['b beritaterkini polda ntb tempat personel khusus cegat drone liar race motogp mandalika n polda ntb '],['b beritaterkini polda ntb tempat personel khusus cegat drone liar race motogp mandalika n polda ntb ']
b bmw indonesia serah unit bmw e m sport mgpa safety car motogp indonesia ,Positif,['b bmw indonesia serah unit bmw e m sport mgpa safety car motogp indonesia '],['b bmw indonesia serah unit bmw e m sport mgpa safety car motogp indonesia ']
b bmw siap mobil listrik safety car motogp mandalika,Positif,['b bmw siap mobil listrik safety car motogp mandalika'],['b bmw siap mobil listrik safety car motogp mandalika']
b cinta produk lokal motogp mandalika,Positif,['b cinta produk lokal motogp mandalika'],['b cinta produk lokal motogp mandalika']
b danlap motogp mandalika marsekal tni purn had tjahjanto kaget senang pulang nyaman,Positif,['b danlap motogp mandalika marsekal tni purn had tjahjanto kaget senang pulang nyaman'],['b danlap motogp mandalika marsekal tni purn had tjahjanto kaget senang pulang nyaman']
b dispar ntb pasti sedia kamar jelang motogp nmotogp motogpmandalika ntb sirkuitmandalika indoposco n,Positif,['b dispar ntb pasti sedia kamar jelang motogp nmotogp motogpmandalika ntb sirkuitmandalika indoposco n'],['b dispar ntb pasti sedia kamar jelang motogp nmotogp motogpmandalika ntb sirkuitmandalika indoposco n']
b dukung sektor transportasi event motogp mandalika ntransportasimaju nmotogpmandalika nmotogp,Positif,['b dukung sektor transportasi event motogp mandalika ntransportasimaju nmotogpmandalika nmotogp'],['b dukung sektor transportasi event motogp mandalika ntransportasimaju nmotogpmandalika nmotogp']
b electrizen laksana tes pramusim motogp sirkuit mandalika lombok nusa tenggara barat gelar ,Positif,['b electrizen laksana tes pramusim motogp sirkuit mandalika lombok nusa tenggara barat gelar '],['b electrizen laksana tes pramusim motogp sirkuit mandalika lombok nusa tenggara barat gelar ']
b fim dorna sports selenggara motogp sirkuit mandalika gelar sesuai jadwal ,Positif,['b fim dorna sports selenggara motogp sirkuit mandalika gelar sesuai jadwal '],['b fim dorna sports selenggara motogp sirkuit mandalika gelar sesuai jadwal ']
b fonsi nieto ambil peran pramac francesco guidotti berangkat ktm motogp,Positif,['b fonsi nieto ambil peran pramac francesco guidotti berangkat ktm motogp'],['b fonsi nieto ambil peran pramac francesco guidotti berangkat ktm motogp']
b gelar motogp lombok indonesia sorot bincang hangat aktivitas ,Positif,['b gelar motogp lombok indonesia sorot bincang hangat aktivitas '],['b gelar motogp lombok indonesia sorot bincang hangat aktivitas ']
b gelar tinggal minggu lg n nmedia asing serang habis sirkuit mandalika ganti aspal balap,negatif,['b gelar tinggal minggu lg n nmedia asing serang habis sirkuit mandalika ganti aspal balap'],['b gelar tinggal minggu lg n nmedia asing serang habis sirkuit mandalika ganti aspal balap']
b goreng terosss nmotogp motogpmandalika,negatif,['b goreng terosss nmotogp motogpmandalika'],['b goreng terosss nmotogp motogpmandalika']
b gotong royong motogpmandalika,Positif,['b gotong royong motogpmandalika'],['b gotong royong motogpmandalika']
b grab fast wall art mandalika sirkuit ditaro kamar meja gantung bundle mas,Positif,['b grab fast wall art mandalika sirkuit ditaro kamar meja gantung bundle mas'],['b grab fast wall art mandalika sirkuit ditaro kamar meja gantung bundle mas']
b guna skema lap n world superbike november pln suplai utama sist,Positif,['b guna skema lap n world superbike november pln suplai utama sist'],['b guna skema lap n world superbike november pln suplai utama sist']
b hafizh syahrin german moto classicmotogp motorcycle motorsport hafizh syahrin motogp ,Positif,['b hafizh syahrin german moto classicmotogp motorcycle motorsport hafizh syahrin motogp '],['b hafizh syahrin german moto classicmotogp motorcycle motorsport hafizh syahrin motogp ']
b hai laku usaha n nyuk ikut umk camp ada badan pom via zoom meeting live streaming youtube ,Positif,['b hai laku usaha n nyuk ikut umk camp ada badan pom via zoom meeting live streaming youtube '],['b hai laku usaha n nyuk ikut umk camp ada badan pom via zoom meeting live streaming youtube ']
b hai temanjne tinggal tunggu motogp mandalika yuk simak tarik motogp indo ,Positif,['b hai temanjne tinggal tunggu motogp mandalika yuk simak tarik motogp indo '],['b hai temanjne tinggal tunggu motogp mandalika yuk simak tarik motogp indo ']
b hai traveller yuk libur lombok lombok travelist solusi libur kunjung ,Positif,['b hai traveller yuk libur lombok lombok travelist solusi libur kunjung '],['b hai traveller yuk libur lombok lombok travelist solusi libur kunjung ']
b hai yg temen ngga nonton motogp nonton premium grandstand red zone ,Positif,['b hai yg temen ngga nonton motogp nonton premium grandstand red zone '],['b hai yg temen ngga nonton motogp nonton premium grandstand red zone ']
b halo sobatkom gelar tes pramusim motogpmandalika tahu posisi pegang ,Positif,['b halo sobatkom gelar tes pramusim motogpmandalika tahu posisi pegang '],['b halo sobatkom gelar tes pramusim motogpmandalika tahu posisi pegang ']
b i gusti ngurah rai bandara hubung motogp mandalika n nmotogp motogpmandalika mandalikatest mandalika ,Positif,['b i gusti ngurah rai bandara hubung motogp mandalika n nmotogp motogpmandalika mandalikatest mandalika '],['b i gusti ngurah rai bandara hubung motogp mandalika n nmotogp motogpmandalika mandalikatest mandalika ']
b ikut insiden selenggara tes pramusim motogp sirkuit mandalika salah satu bikin sesak nafas ,Positif,['b ikut insiden selenggara tes pramusim motogp sirkuit mandalika salah satu bikin sesak nafas '],['b ikut insiden selenggara tes pramusim motogp sirkuit mandalika salah satu bikin sesak nafas ']
b indonesia kabar aleix espargaro sirkuit mandalika gelar balap moto ,Positif,['b indonesia kabar aleix espargaro sirkuit mandalika gelar balap moto '],['b indonesia kabar aleix espargaro sirkuit mandalika gelar balap moto ']
b itdc optimis baik aspal mandalika lengkap cek link ,Positif,['b itdc optimis baik aspal mandalika lengkap cek link '],['b itdc optimis baik aspal mandalika lengkap cek link ']
b jadoelnews tiket motogp mandalika pes bagima,Positif,['b jadoelnews tiket motogp mandalika pes bagima'],['b jadoelnews tiket motogp mandalika pes bagima']
b jadwal lintas balap motogp musim rilis musim balap milik bebe ,Positif,['b jadwal lintas balap motogp musim rilis musim balap milik bebe '],['b jadwal lintas balap motogp musim rilis musim balap milik bebe ']
b jadwal motogp baru gp indonesia sirkuit mandalika seri gp qatar ,Positif,['b jadwal motogp baru gp indonesia sirkuit mandalika seri gp qatar '],['b jadwal motogp baru gp indonesia sirkuit mandalika seri gp qatar ']
b jadwal motogp indonesia seri motogpmandalika,Positif,['b jadwal motogp indonesia seri motogpmandalika'],['b jadwal motogp indonesia seri motogpmandalika']
b jadwal motogp lengkap jam tayang gp mandalika tv akses nonton live streaming trans ,Positif,['b jadwal motogp lengkap jam tayang gp mandalika tv akses nonton live streaming trans '],['b jadwal motogp lengkap jam tayang gp mandalika tv akses nonton live streaming trans ']
b jalur mandalika indonesia terima tes resmi pekan tim produsen motogp ,Positif,['b jalur mandalika indonesia terima tes resmi pekan tim produsen motogp '],['b jalur mandalika indonesia terima tes resmi pekan tim produsen motogp ']
b jangan lewat tarik motogp ,Positif,['b jangan lewat tarik motogp '],['b jangan lewat tarik motogp ']
b jangan lupa temanjne dapat tiket nonton motogp mandalika gratis ikut game si joni ,Positif,['b jangan lupa temanjne dapat tiket nonton motogp mandalika gratis ikut game si joni '],['b jangan lupa temanjne dapat tiket nonton motogp mandalika gratis ikut game si joni ']
b jawab mandalika nmotogpadatiketnya nmotogpmandalika,Positif,['b jawab mandalika nmotogpadatiketnya nmotogpmandalika'],['b jawab mandalika nmotogpadatiketnya nmotogpmandalika']
b jelang motogpmandalika pertamina pasti pasok avtur ntb aman n nbaca lengkap ,Positif,['b jelang motogpmandalika pertamina pasti pasok avtur ntb aman n nbaca lengkap '],['b jelang motogpmandalika pertamina pasti pasok avtur ntb aman n nbaca lengkap ']
b kadispar bal khawatir event motogp sedot wisman lombok,Positif,['b kadispar bal khawatir event motogp sedot wisman lombok'],['b kadispar bal khawatir event motogp sedot wisman lombok']
b kalo yg cari homestay motogp mandalika samber tweet ya ,Positif,['b kalo yg cari homestay motogp mandalika samber tweet ya '],['b kalo yg cari homestay motogp mandalika samber tweet ya ']
b kemenparekraf-dorna sports jalin kerja kait ajang motogp nmotogp motogpmandalika ntb dorna sports ,Positif,['b kemenparekraf-dorna sports jalin kerja kait ajang motogp nmotogp motogpmandalika ntb dorna sports '],['b kemenparekraf-dorna sports jalin kerja kait ajang motogp nmotogp motogpmandalika ntb dorna sports ']
b kerikil sirkuit heboh warga gusur motogpmandalika,negatif,['b kerikil sirkuit heboh warga gusur motogpmandalika'],['b kerikil sirkuit heboh warga gusur motogpmandalika']
b kerja penuh semangat bagi kasih n nsalam sukses sehat mandalika circuit,Positif,['b kerja penuh semangat bagi kasih n nsalam sukses sehat mandalika circuit'],['b kerja penuh semangat bagi kasih n nsalam sukses sehat mandalika circuit']
b kontrol harga akomodasi transportasi jelang motogp mandalika sandiaga uno atur pergub ntb ,Positif,['b kontrol harga akomodasi transportasi jelang motogp mandalika sandiaga uno atur pergub ntb '],['b kontrol harga akomodasi transportasi jelang motogp mandalika sandiaga uno atur pergub ntb ']
b kunjung masjid sejarah aceh cocok jadi wisata religi ,Positif,['b kunjung masjid sejarah aceh cocok jadi wisata religi '],['b kunjung masjid sejarah aceh cocok jadi wisata religi ']
b lagi balap indonesia mentas kompetisi balap eropa kali wahyu nugroho ,Positif,['b lagi balap indonesia mentas kompetisi balap eropa kali wahyu nugroho '],['b lagi balap indonesia mentas kompetisi balap eropa kali wahyu nugroho ']
b laksa tes pramusim motogp sirkuit mandalika gelar februari dukung kelis ,Positif,['b laksa tes pramusim motogp sirkuit mandalika gelar februari dukung kelis '],['b laksa tes pramusim motogp sirkuit mandalika gelar februari dukung kelis ']
b lintas sirkuit mandalika aspal ulang alat berat nsirkuitmandalika mandalika aspal lombok ,Positif,['b lintas sirkuit mandalika aspal ulang alat berat nsirkuitmandalika mandalika aspal lombok '],['b lintas sirkuit mandalika aspal ulang alat berat nsirkuitmandalika mandalika aspal lombok ']
b listrik kedip tes pramusim motogp sirkuit mandalika n npln motogp mandalika plnsupportsmotogp motogpmandali ,Positif,['b listrik kedip tes pramusim motogp sirkuit mandalika n npln motogp mandalika plnsupportsmotogp motogpmandali '],['b listrik kedip tes pramusim motogp sirkuit mandalika n npln motogp mandalika plnsupportsmotogp motogpmandali ']
b mandalika penuh kualifikasi dunia top speed target nmandalika motogpmandalika nsirkuitmandalika ,Positif,['b mandalika penuh kualifikasi dunia top speed target nmandalika motogpmandalika nsirkuitmandalika '],['b mandalika penuh kualifikasi dunia top speed target nmandalika motogpmandalika nsirkuitmandalika ']
b manjain tonton motogp kemenhub siap bus gratis sirkuit mandalika n nmandalika motogpmandalika motogp,Positif,['b manjain tonton motogp kemenhub siap bus gratis sirkuit mandalika n nmandalika motogpmandalika motogp'],['b manjain tonton motogp kemenhub siap bus gratis sirkuit mandalika n nmandalika motogpmandalika motogp']
b masih nggak balap follow n nvalentino rossi catalangp motogp ,Positif,['b masih nggak balap follow n nvalentino rossi catalangp motogp '],['b masih nggak balap follow n nvalentino rossi catalangp motogp ']
b masih sisa logistik tim motogp mandalika langsung kirim qatar n nstreaming,Positif,['b masih sisa logistik tim motogp mandalika langsung kirim qatar n nstreaming'],['b masih sisa logistik tim motogp mandalika langsung kirim qatar n nstreaming']
b menkominfo johnny plate unjung motogpmandalika rasa alam g n nwah kereenn ,Positif,['b menkominfo johnny plate unjung motogpmandalika rasa alam g n nwah kereenn '],['b menkominfo johnny plate unjung motogpmandalika rasa alam g n nwah kereenn ']
b menparekraf sandiaga uno optimistis gelar motogp mandalika momentum bangkit sektor pariwisata,Positif,['b menparekraf sandiaga uno optimistis gelar motogp mandalika momentum bangkit sektor pariwisata'],['b menparekraf sandiaga uno optimistis gelar motogp mandalika momentum bangkit sektor pariwisata']
b mgpa metode bersih lintas mandalikacircuit motogpmandalika,Positif,['b mgpa metode bersih lintas mandalikacircuit motogpmandalika'],['b mgpa metode bersih lintas mandalikacircuit motogpmandalika']
b moga lengkap motogp mandalika valentino rossi sangat ,Positif,['b moga lengkap motogp mandalika valentino rossi sangat '],['b moga lengkap motogp mandalika valentino rossi sangat ']
b motogp mandalika dampak tingkat huni hotel wilayah sirkuit n nmerahputihcom ,Positif,['b motogp mandalika dampak tingkat huni hotel wilayah sirkuit n nmerahputihcom '],['b motogp mandalika dampak tingkat huni hotel wilayah sirkuit n nmerahputihcom ']
b motogp mandalika marini tikung sirkuit mandalika baik dunia,Positif,['b motogp mandalika marini tikung sirkuit mandalika baik dunia'],['b motogp mandalika marini tikung sirkuit mandalika baik dunia']
b motogpmandalika kominfo sedia internet kencang n nindonesia dunia motogpmandalika ,Positif,['b motogpmandalika kominfo sedia internet kencang n nindonesia dunia motogpmandalika '],['b motogpmandalika kominfo sedia internet kencang n nindonesia dunia motogpmandalika ']
b motogpmandalika lombok pengaruh tingkat huni hotel bal,Positif,['b motogpmandalika lombok pengaruh tingkat huni hotel bal'],['b motogpmandalika lombok pengaruh tingkat huni hotel bal']
b nanti motogp mandalika gelar patung motor sorot dunia monumental ,Positif,['b nanti motogp mandalika gelar patung motor sorot dunia monumental '],['b nanti motogp mandalika gelar patung motor sorot dunia monumental ']
b patung jokowi motor pasang gerbang sirkuit mandalika,Positif,['b patung jokowi motor pasang gerbang sirkuit mandalika'],['b patung jokowi motor pasang gerbang sirkuit mandalika']
b pemprov ntb warga lokal alam tonton motogp indonesia motogpmandalika,Positif,['b pemprov ntb warga lokal alam tonton motogp indonesia motogpmandalika'],['b pemprov ntb warga lokal alam tonton motogp indonesia motogpmandalika']
b perintah sarana tunjang dukung selenggara motogp mandalika maret ,Positif,['b perintah sarana tunjang dukung selenggara motogp mandalika maret '],['b perintah sarana tunjang dukung selenggara motogp mandalika maret ']
b perintah siap paket wisata harga rp juta helat motogp mandalika n nbaca lengkap ,Positif,['b perintah siap paket wisata harga rp juta helat motogp mandalika n nbaca lengkap '],['b perintah siap paket wisata harga rp juta helat motogp mandalika n nbaca lengkap ']
b pln siap pasok listrik sarana dukung hasil antisipasi lonjak konsumsi listrik antusiasm ,Positif,['b pln siap pasok listrik sarana dukung hasil antisipasi lonjak konsumsi listrik antusiasm '],['b pln siap pasok listrik sarana dukung hasil antisipasi lonjak konsumsi listrik antusiasm ']
b prediksi naik helat motogp pertamina pasti pasok avtur aman navtur motogp ,Positif,['b prediksi naik helat motogp pertamina pasti pasok avtur aman navtur motogp '],['b prediksi naik helat motogp pertamina pasti pasok avtur aman navtur motogp ']
b program selaras strategi perintah bangun semangat masyarakat dorong antusiasme ,Positif,['b program selaras strategi perintah bangun semangat masyarakat dorong antusiasme '],['b program selaras strategi perintah bangun semangat masyarakat dorong antusiasme ']
b promotor motogp puas tes pramusim selenggara laku baik fasilitas n nyuk baca ,Positif,['b promotor motogp puas tes pramusim selenggara laku baik fasilitas n nyuk baca '],['b promotor motogp puas tes pramusim selenggara laku baik fasilitas n nyuk baca ']
b saksi event balap penuh aksi sensasi motogp seri sirkuit mandalika sirkuit bangga indonesia ,Positif,['b saksi event balap penuh aksi sensasi motogp seri sirkuit mandalika sirkuit bangga indonesia '],['b saksi event balap penuh aksi sensasi motogp seri sirkuit mandalika sirkuit bangga indonesia ']
b sandiaga uno program tiket motogpmandalika jangkau,Positif,['b sandiaga uno program tiket motogpmandalika jangkau'],['b sandiaga uno program tiket motogpmandalika jangkau']
b sedia guest house traveller gk kebagiaan inap harga mahal nonton motogp bookin ,negatif,['b sedia guest house traveller gk kebagiaan inap harga mahal nonton motogp bookin '],['b sedia guest house traveller gk kebagiaan inap harga mahal nonton motogp bookin ']
b sekitar persen lintas sirkuit pertamina mandalika aspal ulang susul rekomendasi dorna sport ,Positif,['b sekitar persen lintas sirkuit pertamina mandalika aspal ulang susul rekomendasi dorna sport '],['b sekitar persen lintas sirkuit pertamina mandalika aspal ulang susul rekomendasi dorna sport ']
b sip boyong pertamina mandalika international street circuit diri patung motor persis ,Positif,['b sip boyong pertamina mandalika international street circuit diri patung motor persis '],['b sip boyong pertamina mandalika international street circuit diri patung motor persis ']
b sirkuit mandalika debu tes pramusim motogp komentar bos sirkuit sepang bikin adem ,Positif,['b sirkuit mandalika debu tes pramusim motogp komentar bos sirkuit sepang bikin adem '],['b sirkuit mandalika debu tes pramusim motogp komentar bos sirkuit sepang bikin adem ']
b sirkuit mandalika nilai milik kerja selesai tanggap sudah,Positif,['b sirkuit mandalika nilai milik kerja selesai tanggap sudah'],['b sirkuit mandalika nilai milik kerja selesai tanggap sudah']
b sirkuit motogp mandalika keluh balap n nmotogp motogpmandalika,negatif,['b sirkuit motogp mandalika keluh balap n nmotogp motogpmandalika'],['b sirkuit motogp mandalika keluh balap n nmotogp motogpmandalika']
b tahu sobatkom sirkuit penuh prosedur selamat kecuali dgn sirkuit ma,negatif,['b tahu sobatkom sirkuit penuh prosedur selamat kecuali dgn sirkuit ma'],['b tahu sobatkom sirkuit penuh prosedur selamat kecuali dgn sirkuit ma']
b target sirkuitmandalika rampung cepat target dorna motogp motogpmandalika,Positif,['b target sirkuitmandalika rampung cepat target dorna motogp motogpmandalika'],['b target sirkuitmandalika rampung cepat target dorna motogp motogpmandalika']
b tes mandalika preseason adegan kontrove motogp,negatif,['b tes mandalika preseason adegan kontrove motogp'],['b tes mandalika preseason adegan kontrove motogp']
b tok pemprov ntb jalin kerja traveloka sukses ajang kelas wahid n nmotogp motogpmandalika ,Positif,['b tok pemprov ntb jalin kerja traveloka sukses ajang kelas wahid n nmotogp motogpmandalika '],['b tok pemprov ntb jalin kerja traveloka sukses ajang kelas wahid n nmotogp motogpmandalika ']
b top news koran rakyat merdeka n ngelaran motogp gagal naspal titik rusak mandalika ,negatif,['b top news koran rakyat merdeka n ngelaran motogp gagal naspal titik rusak mandalika '],['b top news koran rakyat merdeka n ngelaran motogp gagal naspal titik rusak mandalika ']
b umkm bayar tiket masuk harga murah tiket tonton motogp mandalika kepal ,Positif,['b umkm bayar tiket masuk harga murah tiket tonton motogp mandalika kepal '],['b umkm bayar tiket masuk harga murah tiket tonton motogp mandalika kepal ']
b umum selasa sirkuit mandalika jalan renovasi gp motogp indone motogp ,Positif,['b umum selasa sirkuit mandalika jalan renovasi gp motogp indone motogp '],['b umum selasa sirkuit mandalika jalan renovasi gp motogp indone motogp ']
b wisatawan tonton motogp sirkuit mandalika maret khawatir ,Positif,['b wisatawan tonton motogp sirkuit mandalika maret khawatir '],['b wisatawan tonton motogp sirkuit mandalika maret khawatir ']
b wohooo ga sabar nonton motogp mandalika n nkalian nonton langsung ga gengs n nmotogpindonesia ,Positif,['b wohooo ga sabar nonton motogp mandalika n nkalian nonton langsung ga gengs n nmotogpindonesia '],['b wohooo ga sabar nonton motogp mandalika n nkalian nonton langsung ga gengs n nmotogpindonesia ']
b yg ga dukung motogp motogpmandalika yg ga indonesia maju n nsalam sehat ,Positif,['b yg ga dukung motogp motogpmandalika yg ga indonesia maju n nsalam sehat '],['b yg ga dukung motogp motogpmandalika yg ga indonesia maju n nsalam sehat ']
b yuk libur lombok lombok travelist melayani n jalan wisata n jalan dinas n paket ,Positif,['b yuk libur lombok lombok travelist melayani n jalan wisata n jalan dinas n paket '],['b yuk libur lombok lombok travelist melayani n jalan wisata n jalan dinas n paket ']
b yuk lihat salah pesona indonesia baru ramai bincang ,Positif,['b yuk lihat salah pesona indonesia baru ramai bincang '],['b yuk lihat salah pesona indonesia baru ramai bincang ']
b yuk nonton event balap penuh aksi sensasi motogpseri sirkuitmandalika sirkuit bangga indonesia ,Positif,['b yuk nonton event balap penuh aksi sensasi motogpseri sirkuitmandalika sirkuit bangga indonesia '],['b yuk nonton event balap penuh aksi sensasi motogpseri sirkuitmandalika sirkuit bangga indonesia ']
